,molecule_chembl_id,Ki,units,pKi,smiles
2279,CHEMBL1834573,6930.0,nM,5.16,Cn1cc2c(nc(N)n3nc(-c4ccc(C(F)(F)F)cc4)nc23)n1
2280,CHEMBL1834622,987.0,nM,6.01,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccc(Cl)cc4)nc23)n1
2281,CHEMBL1834623,2360.0,nM,5.63,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccc(Br)cc4)nc23)n1
2282,CHEMBL1834624,36000.0,nM,4.44,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccc(C(F)(F)F)cc4)nc23)n1
2283,CHEMBL1834626,1060.0,nM,5.97,Cn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccc(Cl)cc4)nc23)n1
2284,CHEMBL1834627,5930.0,nM,5.23,Cn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccc(Br)cc4)nc23)n1
2285,CHEMBL1834630,1460.0,nM,5.84,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccc(Cl)cc4)nn23)cc1
2286,CHEMBL1834694,8400.0,nM,5.08,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccc(Br)cc4)nn23)cc1
2287,CHEMBL1834697,4040.0,nM,5.39,O=C(Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(F)cc3)nn12)c1ccccc1
2288,CHEMBL1834698,19400.0,nM,4.71,O=C(Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(Cl)cc3)nn12)c1ccccc1
2289,CHEMBL1834699,25200.0,nM,4.6,COc1ccc(-c2nc3c4cn(CCc5ccccc5)nc4nc(NC(=O)c4ccccc4)n3n2)cc1
2290,CHEMBL1834700,614.0,nM,6.21,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccccc3)nn12
2291,CHEMBL1834701,571.0,nM,6.24,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(F)cc3)nn12
